NCT Number	Title	Acronym	Status	Conditions	Interventions	Outcome Measures	Sponsors	Gender	Age	Enrollment	Funders	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	Last Verified	First Submitted	First Posted	Results First Submitted	Results First Posted	Last Update Submitted	Last Update Posted	URL	Setting	Stage	Sponsor_Type	Controlled	Multi-Arm	Pediatric	Country_PI	Cancer_Group	Cancer_Type	Drug_INN	Primary-EP	Phase	DrugBank	Removed
NCT04677049	Study of Niacin in Glioblastoma		Recruiting	Glioblastoma IDH (Isocitrate Dehydrogenase) Wildtype	Drug: Niacin CRT	Determining the Maximum Tolerated Dose; Evaluating if Niacin CRT Improves Glioblastoma Survival Rates; Effect of Niacin CRT in Peripheral Monocytes; Response Rate Associated with Niacin; Overall Survival Rate Associated with Niacin; Quality of Life While on Study using EORTC QLQ-C30 Questionnaires; Quality of Life While on Study using EORTC BN-20 Questionnaires	AHS Cancer Control Alberta; Tom Baker Cancer Centre	All	18 Years to 75 Years   (Adult, Older Adult)	59	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NiacinCNS2020	18/03/2021	01/01/2026	01/01/2026			21/12/2020				23/03/2023	https://ClinicalTrials.gov/show/NCT04677049		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Canada	CNS	Glioblastoma	Nicotinamide	Safety and/or Dose; PFS	Phase 1/2	DB02701	N
NCT02295059	Omega 3 Fatty Acids and ERPR(-)HER2(+/-) Breast Cancer Prevention		Active, not recruiting	Breast Cancer	Dietary Supplement: omega 3 fatty acids	Changes in eicosanoids/metabolites including PGE2, PGE3 in breast adipose tissue; Changes in cytomorphology and/or cell proliferation of mammary epithelial cells; Changes in DNA promoter methylation and pro-inflammatory gene expression in mammary epithelial and adipose tissue	City of Hope Medical Center; National Cancer Institute (NCI)	Female	18 Years and older   (Adult, Older Adult)	80	Other; NIH	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	16421; 1R01CA164019-01A1	08/09/2017	30/12/2023	30/12/2023			20/11/2014				22/02/2023	https://ClinicalTrials.gov/show/NCT02295059		Localised/Locoregional	Hospital/University/Research Institute	N	Y	N	United States	Breast	Breast Cancer - ER/HR-	Omega 3	Biomarker	Other	DB13961	N
NCT03138720	Pre-operative Treatment for Patients With Untreated Pancreatic Cancer		Active, not recruiting	Resectable Pancreatic Cancer|Unresectable Pancreatic Cancer|Pancreatic Adenocarcinoma|Neoadjuvant Pancreatic Cancer	Drug: Paclitaxel Protein Bound (Abraxane)	CA19-9 value; Pathologic Complete Response Rate; Overall Survival	HonorHealth Research Institute	All	18 Years and older   (Adult, Older Adult)	24	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NABPLAGEM-NEO 2017-001	23/05/2017	31/12/2023	07/01/2024			05/03/2017				18/04/2023	https://ClinicalTrials.gov/show/NCT03138720		Localised/Locoregional; Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	GI	Pancreatic Cancer	Paricalcitol	Response rate; OS; Biomarker	Phase 2	DB00910	N
NCT03415854	Paclitaxel Protein Bound Plus Cisplatin Plus Gemcitabine and Paricalcitol for Pancreatic Adenocarcinoma (NABPLAGEMD)	NABPLAGEMD	Active, not recruiting	Pancreatic Cancer|Pancreatic Ductal Adenocarcinoma|Pancreatic Adenocarcinoma|Pancreas Metastases|Adenocarcinoma	Drug: Paricalcitol (Zemplar)	Pathologic Complete Response Rate; Carbohydrate Antigen 19-9 (CA19-9) value; changes in circulating biomarkers induced by paricalcitol; changes in circulating biomarkers induced by chemotherapy; pharmacodynamics effect of Paricalcitol; Parathyroid Hormone (PTH); Vitamin D 25-hydroxy (OH)	HonorHealth Research Institute; Barts Cancer Institute; Abramson Cancer Center at Penn Medicine; Salk Institute for Biological Studies; Mayo Clinic; Princeton University; Imaging Endpoints; Translational Genomics Research Institute; Stand Up To Cancer; Cancer Research UK; Lustgarten Foundation; University of California, San Diego	All	18 Years and older   (Adult, Older Adult)	14	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SU2C HRI NPG-001	31/01/2018	31/12/2023	31/01/2024			30/01/2018				13/04/2023	https://ClinicalTrials.gov/show/NCT03415854		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	GI	Pancreatic Cancer	Paricalcitol	Response rate; Biomarker	Phase 2	DB00910	N
NCT02754726	Combination Therapy for Patients With Untreated Metastatic Pancreatic Ductal Adenocarcinoma		Active, not recruiting	Untreated Metastatic Pancreatic Ductal Adenocarcinoma	Drug: Nivolumab; Drug: Albumin-bound paclitaxel; Drug: Paricalcitol; Drug: Cisplatin; Drug: Gemcitabine	Complete response rate; Number of participants with treatment-related adverse events as assessed by CTCAE v4.0	HonorHealth Research Institute; Translational Genomics Research Institute; Bristol-Myers Squibb; Lustgarten Foundation	All	18 Years and older   (Adult, Older Adult)	10	Other; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	NAPPCG-EB 2015-001	04/01/2016	30/06/2023	12/01/2023			28/04/2016				13/04/2023	https://ClinicalTrials.gov/show/NCT02754726		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	GI	Pancreatic Cancer	Paricalcitol	Safety and/or Dose; Response rate	Phase 2	DB00910	N
NCT03746080	Whole Brain Radiation Therapy With Standard Temozolomide Chemo-Radiotherapy and Plerixafor in Treating Patients With Glioblastoma		Recruiting	Glioblastoma|Glioblastoma With Primitive Neuronal Component|Gliosarcoma|Malignant Glioma|Oligodendroglial Component Present	Drug: Plerixafor; Drug: Temozolomide; Radiation: Whole-Brain Radiotherapy (WBRT); Radiation: Radiation Therapy	Progression-free survival (PFS) at six months; Median Survival; Toxicity associated with Plerixafor/WBRT; Patterns of treatment failure	Lawrence D Recht; Sanofi; Stanford University	All	18 Years to 75 Years   (Adult, Older Adult)	20	Other; Industry	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	IRB-46410; NCI-2018-02159; BRN0037	12/04/2018	26/01/2024	07/01/2027			19/11/2018				14/04/2023	https://ClinicalTrials.gov/show/NCT03746080		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	CNS	Glioblastoma	Plerixafor	Safety and/or Dose; PFS; OS	Phase 2	DB06809	N
NCT04310176	Valproic Acid in Combination With Bevacizumab and Oxaliplatin/Fluoropyrimidine Regimens in Patients With Ras-mutated Metastatic Colorectal Cancer	REVOLUTION	Recruiting	Ras-mutated Metastatic Colorectal Cancer	Drug: Bevacizumab; Drug: mFOLFOX6 regimen; Drug: mOXXEL regimen; Drug: Valproic acid; Drug: Capecitabine; Drug: 5-fluorouracil	progression-free survival (PFS); centrally reviewed PFS (CR-PFS); overall survival (OS); Determination of changes in quality of life; Response rate; Number of participants with treatment-related side effects; metastases resection rate (R0/R1/R2)	National Cancer Institute, Naples	All	18 Years and older   (Adult, Older Adult)	200	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	REVOLUTION; 2018-001414-15	24/05/2019	06/01/2023	11/01/2024			17/03/2020				27/03/2023	https://ClinicalTrials.gov/show/NCT04310176		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	Italy	GI	Colon Cancer; Rectal Cancer	Valproic Acid	Safety and/or Dose; Response rate; PFS; OS; QoL	Phase 2	DB00313	N
NCT01898104	Preoperative Valproic Acid and Radiation Therapy for Rectal Cancer	V-shoRT-R3	Recruiting	Colorectal Cancer	Radiation: preoperative radiation therapy; Drug: Valproic Acid; Drug: Capecitabine	maximum tolerated dose of capecitabine, given alone or in combination with valproic acid; number of patients with complete pathological tumor regression; overall survival; number of patients alive with disease progression; number of patients with pathologic complete response; changes in quality of life from baseline	National Cancer Institute, Naples	All	18 Years to 70 Years   (Adult, Older Adult)	152	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	V-shoRT-R3; 2012-002831-28	05/01/2012	11/01/2023	04/01/2024			07/12/2013				24/03/2023	https://ClinicalTrials.gov/show/NCT01898104		Localised/Locoregional	Hospital/University/Research Institute	Y	Y	N	Italy	GI	Rectal Cancer	Valproic Acid	Safety and/or Dose; Response rate; PFS; OS	Phase 1/2	DB00313	N
NCT01953900	iC9-GD2-CAR-VZV-CTLs/Refractory or Metastatic GD2-positive Sarcoma and Neuroblastoma	VEGAS	Active, not recruiting	Osteosarcoma|Neuroblastoma	Genetic: GD2 T cells; Biological: VZV vaccine; Drug: Fludarabine; Drug: Cyclophosphamide	Number of patients with dose limiting toxicity; Amount of T cells in the blood after the infusions; Number of patients with a response to the T cells	Baylor College of Medicine; National Cancer Institute (NCI); Center for Cell and Gene Therapy, Baylor College of Medicine; The Methodist Hospital Research Institute	All	Child, Adult, Older Adult	26	Other; NIH	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	H-32335 VEGAS; VEGAS; P01CA094237	04/01/2014	31/10/2019	31/10/2034			10/01/2013				30/03/2023	https://ClinicalTrials.gov/show/NCT01953900		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	United States	Other; Soft Tissue Sarcoma	Any soft tissue sarcoma	Varicella vaccine	Safety and/or Dose	Phase 1	Not found in DrugBank	N
NCT03664687	Comparing a Single-Dose vs. Twice Yearly Zoledronate in Patients With Early Stage Breast Cancer (REaCT-ZOL)	REaCT-ZOL	Active, not recruiting	Early-stage Breast Cancer	Drug: Zoledronate	Multiple Site Activation; Time to Activate Six Sites; Medical Oncologist Active Participation; Patient Enrollment; Bone-Metastasis-Free Survival; Time to first bone metastasis; Fragility fractures rates; Direct Estimation of Health Utility Values; Incremental Cost-Effectiveness Ratio	Ottawa Hospital Research Institute	All	18 Years and older   (Adult, Older Adult)	211	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	OTT 18-01	31/10/2018	04/02/2020	12/01/2024			09/10/2018				05/11/2023	https://ClinicalTrials.gov/show/NCT03664687		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	Canada	Breast	Any Breast Cancer	Zoledronic Acid	DFS/RFS/EFS; Other (specify)	Phase 4	DB00399	N
NCT03173976	Anti-Osteoclast Therapy as Neoadjuvant in Treatment of Chondrosarcoma - Phase 1b Trial		Recruiting	Chondrosarcoma	Drug: Zoledronic Acid	Phase 1b cohort: Dose Limiting Toxicity - to examine the toxicity related to the therapy by measuring the number of treatment related adverse events in patients; Expansion cohort: Response Rate - Change at evaluations; Recurrence (local or metastatic) free survival; Overall survival	Varun Monga, MD; Rising Tide Foundation; University of Iowa	All	18 Years and older   (Adult, Older Adult)	20	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	201610743	18/07/2017	07/01/2023	07/01/2023			06/02/2017				16/02/2023	https://ClinicalTrials.gov/show/NCT03173976		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	Bone Sarcoma	Chondrosarcoma	Zoledronic Acid	Safety and/or Dose; OS; DFS/RFS/EFS	Phase 1	DB00399	N
NCT02301286	A Trial of Aspirin on Recurrence and Survival in Colon Cancer Patients	ASPIRIN	Active, not recruiting	Colon Cancer|Adjuvant Therapy	Drug: Acetylsalicylic acid; Drug: Placebo Acetylsalicylic acid	5 year overall survival; Disease Free Survival; Time to Treatment Failure	Leiden University; Stichting voor Patienten met Kanker aan het Spijsverteringskanaal (SPKS); Dutch Colorectal Cancer Group; Stichting Geriatrische Oncologie Nederland (GeriOnNe); Fonds NutsOhra; Innovatiefonds Zorgverzekeraars; Leiden University Medical Center	All	45 Years and older   (Adult, Older Adult)	770	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	P14.152	01/01/2015	12/01/2023	12/01/2023			25/11/2014				13/03/2023	https://ClinicalTrials.gov/show/NCT02301286	Adjuvant/Maintenance	Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	Netherlands	GI	Colon Cancer	Acetylsalicylic Acid	OS; DFS/RFS/EFS	Phase 3	DB00945	N
NCT03103152	A Study to Examine the Effectiveness of Aspirin and/or Vitamin D3 to Prevent Prostate Cancer Progression	PROVENT	Completed	Prostate Cancer	Drug: High dose Aspirin   Vitamin D; Drug: High dose Aspirin, Vitamin D placebo; Drug: Low dose Aspirin , Vitamin D; Drug: Low dose Aspirin, Vitamin D placebo; Drug: Aspirin Placebo, Vitamin D; Drug: Aspirin placebo, Vitamin D placebo	Rate of Patient Recruitment to a Randomised Chemoprevention Study in Men Enrolled on an Active Surveillance Programme for Prostate Cancer. Number Accrued Per Month.; Response to Treatment as Determined by Serial Multi-parametric Magnetic Resonance Imaging (MRI) of the Prostate. New Lesion Present or Existing Lesion + or - in Size.; Number of Participants With Biochemical (PSA) Disease Progression; Number of Participants With Histological Disease Progression; Number of Patients With Adverse With Toxicity, Allergy or Symptoms From Aspirin or Vitamin D	Queen Mary University of London; Barts and the London School of Medicine and Dentistry; Cancer Research UK	Male	16 Years to 100 Years   (Child, Adult, Older Adult)	104	Other	Interventional Study	Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	isrctn91422391	12/01/2016	31/03/2020	31/03/2020			04/06/2017		29/03/2023		29/03/2023	https://ClinicalTrials.gov/show/NCT03103152		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United Kingdom	Urological	Prostate Cancer	Acetylsalicylic Acid; Cholecalciferol	Response rate; PFS; Other (specify)	Phase 2/3	DB00945; DB00169	N
NCT05080946	Using Aspirin to Improve Immunological Features of Ovarian Tumors		Recruiting	Ovarian Cancer|Fallopian Tube Cancer|Peritoneal Cancer	Drug: Aspirin 325mg; Drug: Placebo	Change in intratumoral density of immunosuppressive T-regulatory (FOXP3+) cells from diagnostic biopsy to interval debulking surgery; Change in intratumoral density of M2 tumor-associated macrophages (CD163+ cells) from diagnostic biopsy to interval debulking surgery; Change in density of tumor COX1; Change in density of tumor COX2; Change in blood levels of IL-6; Change in blood levels of p-selectin; Change in blood levels of CA 125; Change in tumor burden as defined by RECIST 1.1	H. Lee Moffitt Cancer Center and Research Institute; United States Department of Defense; Sharp Clinical Services, Inc	Female	18 Years and older   (Adult, Older Adult)	100	Other; U.S. Fed	Interventional Study	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	MCC-20870; E01775.1a	11/02/2021	03/01/2025	03/01/2025			18/10/2021				04/12/2023	https://ClinicalTrials.gov/show/NCT05080946		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	United States	Gynaecological	Fallopian Tube Cancer; Ovarian Epithelial Cancer; Primary Peritoneal Cancer; Ovarian Germ Cell Tumor; Ovarian - Other	Acetylsalicylic Acid	Biomarker	Phase 1	DB00945	N
NCT05462613	Regorafenib With Low-dose Chemotherapies and Aspirin Followed by Standard Chemotherapies in Metastatic Colorectal Cancer	REPROGRAM-02	Recruiting	Metastatic Colorectal Cancer	Other: quality of life questionnaires; Procedure: Blood sample; Drug: Regorafenib; Drug: Metronomic chemotherapies; Drug: Aspirin; Drug: Bevacizumab; Drug: FOLFIRI or FOLFOX	best objective response during treatment period (phase II); overall survival (OS) (phase III)	Centre Hospitalier Universitaire de Besancon	All	18 Years and older   (Adult, Older Adult)	446	Other	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2022/702	05/09/2023	11/01/2029	11/01/2030			18/07/2022				26/05/2023	https://ClinicalTrials.gov/show/NCT05462613		Advanced/Metastatic	Hospital/University/Research Institute	Y	N	N	France	GI	Colon Cancer; Rectal Cancer	Acetylsalicylic Acid	Response rate; OS	Phase 2/3	DB00945	N
NCT04900792	A Safety Study of Pharmacologic Ascorbate and Ferumoxytol in Addition to Standard of Care Chemoradiation in Glioblastoma	XACT-Fe-GBM-01	Suspended	Glioblastoma|Glioblastoma Multiforme	Drug: Ferumoxytol injection; Drug: Pharmacological ascorbate; Radiation: External beam radiation therapy; Drug: Temozolomide	Determination of recommended phase 2 ferumoxytol dosing regimen; Estimate progression free survival (PFS); Estimate overall survival (OS); Estimate Objective Response Rate (ORR); Tumor size; Clinical response; Number of Treatment-Related Adverse Events	Bryan Allen; Holden Comprehensive Cancer Center; National Cancer Institute (NCI); University of Iowa	All	18 Years and older   (Adult, Older Adult)	12	Other; NIH	Interventional Study	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	202103125	28/02/2023	30/06/2024	31/12/2025			25/05/2021				20/04/2023	https://ClinicalTrials.gov/show/NCT04900792		Localised/Locoregional	Hospital/University/Research Institute	N	N	N	United States	CNS	DIPG/DMG; Glioblastoma	Ascorbic acid	Safety and/or Dose; PFS; OS	Phase 1	DB00126	N
NCT03299309	PEP-CMV in Recurrent MEdulloblastoma/Malignant Glioma	PRiME	Active, not recruiting	Recurrent Medulloblastoma|Recurrent Brain Tumor, Childhood|Malignant Glioma	Drug: PEP-CMV	Proportion of patients with unacceptable toxicity; Mean or median change from baseline at each follow-up assessment in ELISPOT (IFN- ); Mean or median change from baseline at each follow-up assessment in ELISA (gB-KLH)	Daniel Landi; Pediatric Brain Tumor Foundation; Annias Immunotherapeutics, Inc.; Duke University	All	3 Years to 35 Years   (Child, Adult)	30	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	Pro00079843	29/06/2018	27/04/2023	04/01/2025			10/03/2017				18/05/2023	https://ClinicalTrials.gov/show/NCT03299309		Recurrent/Refractory	Hospital/University/Research Institute	N	N	Y	United States	CNS	Medulloblastoma; Glioma	Diphtheria vaccine; Tetanus vaccine	Safety and/or Dose	Phase 1	Not found in DrugBank; Not found in DrugBank	N
NCT05096481	PEP-CMV Vaccine Targeting CMV Antigen to Treat Newly Diagnosed Pediatric HGG and DIPG and Recurrent Medulloblastoma		Not yet recruiting	High Grade Glioma|Diffuse Intrinsic Pontine Glioma|Recurrent Medulloblastoma	Biological: PEP-CMV; Drug: Temozolomide; Biological: Tetanus Diphtheria Vaccine	4-mo PFS in patients with recurrent medulloblastoma; 1-yr OS in patients with newly diagnosed DIPG; 1-yr PFS in patients with newly diagnosed HGG; ORR in patients with recurrent medulloblastoma; PFS in patients with recurrent medulloblastoma; OS in patients with newly diagnosed HGG by PEP-CMV	Nationwide Children's Hospital	All	3 Years to 25 Years   (Child, Adult)	120	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CONNECT1906; R01FD007283	15/05/2023	15/05/2027	15/05/2029			27/10/2021				21/02/2023	https://ClinicalTrials.gov/show/NCT05096481		Advanced/Metastatic; Recurrent/Refractory	Hospital/University/Research Institute	N	N	Y	United States	CNS	DIPG/DMG; Medulloblastoma; Glioblastoma	Diphtheria vaccine; Tetanus vaccine	Response rate; PFS; OS	Phase 2	Not found in DrugBank; Not found in DrugBank	N
NCT03688178	DC Migration Study to Evaluate TReg Depletion In GBM Patients With and Without Varlilumab	DERIVe	Recruiting	Glioblastoma	Biological: Human CMV pp65-LAMP mRNA-pulsed autologous DCs; Drug: Temozolomide; Biological: Varlilumab; Biological: Td; Biological: Unpulsed DCs	Median Overall Survival (OS) of Subjects Receiving Td pre-conditioning; Safety of administering Varlilumab to GBM patients receiving temozolomide and dendritic cell vaccines   Td pre-conditioning as measured by the percentage of patients with unacceptable toxicity regardless of attribution; Median percent change between baseline, assessed on day 14, and nadir levels of Treg before the time that the second cycle of adjuvant TMZ would be administered. Treg determined by flow cytometry (CD3+ CD4+ CD25+ Foxp3+).; Median Overall Survival (OS) of Subjects Receiving DC vaccines, varlilumab, and Td pre-conditioning; Median Progression-free Survival (PFS); Median Chemokine (C-C motif) ligand 3 (CCL3) Levels in Serum at 24, 48, and 72 hours after Pre-conditioning	Annick Desjardins, MD; Celldex Therapeutics; Duke University	All	18 Years and older   (Adult, Older Adult)	80	Other; Industry	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	Pro00082570	26/08/2020	03/01/2025	03/01/2025			28/09/2018				03/02/2023	https://ClinicalTrials.gov/show/NCT03688178		Localised/Locoregional	Hospital/University/Research Institute	N	Y	N	United States	CNS	Glioblastoma	Diphtheria vaccine; Tetanus vaccine	Safety and/or Dose; OS	Phase 2	Not found in DrugBank; Not found in DrugBank	N
NCT05500508	Oral AMXT 1501 Dicaprate in Combination With IV DFMO		Recruiting	Cancer|Solid Tumor|Solid Carcinoma|Advanced Cancer|DIPG Brain Tumor|Ovary Cancer|Breast Cancer|Papillary Thyroid Cancer|Head and Neck Cancer|Gastric Cancer|Nsclc|Mesotheliomas Pleural|Mesothelioma Peritoneum|Esophageal Cancer|Diffuse Midline Glioma, H3 K27M-Mutant|Endometrial Cancer|Cervical Cancer|Melanoma|Colorectal Cancer|Glioma, Malignant	Drug: AMXT1501; Drug: DFMO	Determine DLTs and RP2Ds in AMXT 1501 in combination with IV DFMO; Determine safety and tolerability of AMXT1501 in combination with IV DFMO; Determine the PK using AUC of AMXT 1501 and IV DFMO; Determine the PK using Cmax of AMXT 1501 and IV DFMO; Characterize investigator defined response Overall Response Rate (ORR) using RECIST v1.1; Characterize investigator defined Duration of Response (DOR); Characterize AMXT1501 and IV DFMO on the expression of immune related gene signatures	Aminex Therapeutics, Inc.	All	12 Years and older   (Child, Adult, Older Adult)	56	Industry	Interventional Study	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AMXT1501-102	29/11/2022	30/12/2023	31/03/2024			15/08/2022				25/05/2023	https://ClinicalTrials.gov/show/NCT05500508		Advanced/Metastatic; Recurrent/Refractory	Company	N	N	Y	United States	Multiple cancer types	Any solid tumours	Eflornithine	Safety and/or Dose	Phase 1/2	DB06243	N
NCT05717153	Intratumoral Extracellular Metabolic Impact of DFMO and AMXT 1501 in Patients With Diffuse or High Grade Glioma		Recruiting	Diffuse Glioma|Malignant Glioma	Procedure: Biospecimen Collection; Procedure: Computed Tomography; Drug: Eflornithine; Procedure: Magnetic Resonance Imaging; Drug: Polyamine Transport Inhibitor AMXT-1501 Dicaprate; Procedure: Resection; Device: Post-operative Microdialysis	Change in the tumor/brain extracellular guanidinoacetate ratio; Measured extracellular levels of glutamate in tumor and brain microdialysates; Proportion of longitudinal microdialysis aliquots containing > 30 uL of microdialysate; Central nervous system free drug levels from microdialysate; AMXT1501 brain/plasma ratio over time; Incidence of adverse events	Mayo Clinic; National Cancer Institute (NCI)	All	18 Years and older   (Adult, Older Adult)	15	Other; NIH	Interventional Study	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	22-005690; NCI-2022-10375; P30CA015083	03/01/2023	15/01/2025	15/01/2026			02/08/2023				03/03/2023	https://ClinicalTrials.gov/show/NCT05717153		Localised/Locoregional	Hospital/University/Research Institute	Y	N	N	United States	CNS	Glioma; DIPG/DMG	Eflornithine	Safety and/or Dose; Biomarker	Phase 1	DB06243	N
NCT04432597	HPV Vaccine PRGN-2009 Alone or in Combination With Anti-PDL1/TGF-Beta Trap (M7824) in Subjects With HPV Associated Cancers		Active, not recruiting	HPV Positive Cancer|Vulvar, Vaginal, Penile, Rectal Cancer|Anal Cancer|Oropharyngeal Cancer|Cervical Cancer	Biological: PRGN-2009; Biological: M7824	Safety and recommended phase II dose of PRGN-2009; Level increase in CD3+ tumor infiltrating T cells post-treatment compared to pre-treatment; ratio of participants that are hospitalized because of adverse events attributed to disease progression; 3-year overall and relapse-free survival rate for PRGN-2009 alone; overall survival (OS); progression-free survival time (PFS); duration of response; assess the safety of the recommended phase II dose (RP2D) of PRGN-2009 (HPV vaccine) alone; does the use of PRGN-2009 alone result in significantly prolonged survival; overall response rate (ORR)	National Cancer Institute (NCI); National Institutes of Health Clinical Center (CC)	All	18 Years and older   (Adult, Older Adult)	20	NIH	Interventional Study	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	200104; 20-C-0104	08/11/2020	22/11/2022	10/01/2023			16/06/2020				25/04/2023	https://ClinicalTrials.gov/show/NCT04432597		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	Multiple cancer types	Other multiple cancer group (specify)	HPV vaccine	Safety and/or Dose; PFS; OS; Biomarker	Phase 1/2	Not found in DrugBank	N
NCT03253289	Meclizine for Hepatocellular Carcinoma	OPTIM	Active, not recruiting	Carcinoma, Hepatocellular	Drug: Meclizine Oral Tablet	Change in mRNA levels; Change in Ki-67 proliferation index; change in apoptosis by TUNEL assay; Tumor response; Change in Serum AFP; Change in growth differentiation factor (GDF-15); A panel of CAR downstream target genes	Tannaz Armaghnay; Baylor College of Medicine	All	18 Years and older   (Adult, Older Adult)	13	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	H-40370	13/10/2017	12/01/2023	12/01/2026			17/08/2017				04/06/2023	https://ClinicalTrials.gov/show/NCT03253289		Advanced/Metastatic	Hospital/University/Research Institute	N	N	N	United States	GI	Liver Cancer	Meclizine	Safety and/or Dose	Phase 1	DB00737	N
NCT05607407	Methimazole in Patients With Progressive Glioblastoma		Recruiting	Glioblastoma|Glioma	Drug: Methimazole; Procedure: Recurrent Glioblastoma Surgical Resection; Diagnostic Test: Pharmacodynamic Assays	Progression Free Survival (PFS) Rate	Case Comprehensive Cancer Center	All	18 Years and older   (Adult, Older Adult)	19	Other	Interventional Study	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CASE3322	30/04/2023	01/01/2025	01/01/2026			11/07/2022				04/06/2023	https://ClinicalTrials.gov/show/NCT05607407		Recurrent/Refractory	Hospital/University/Research Institute	N	N	N	United States	CNS	Glioblastoma	Methimazole	PFS	Phase 2	DB00763	N
